icao_code,iata_code,name,city,country,lat_decimal,lon_decimal,altitude
FAGG,GRJ,GEORGE,GEORGE,SOUTH AFRICA,-34.005,22.379,198
FAGI,N/A,GIYANI,GIYANI,SOUTH AFRICA,-23.284,30.65,481
FAGM,HCS,RAND,JOHANNESBURG,SOUTH AFRICA,-26.242,28.151,1698
FAGT,N/A,GRAHAMSTOWN,GRAHAMSTOWN,SOUTH AFRICA,-33.285,26.498,651
FAGY,N/A,GREYTOWN,GREYTOWN,SOUTH AFRICA,-29.122,30.587,1077
FAHA,N/A,HARMONY,HARMONY,SOUTH AFRICA,-28.079,26.861,1246
FAHE,N/A,HENDRINA,PULLENSHOPE,SOUTH AFRICA,-25.979,29.619,1576
FAHG,GHC,HEIDELBERG,HEIDELBERG,SOUTH AFRICA,-26.506,28.394,1561
FAHO,N/A,HEILBRON,HEIBRON,SOUTH AFRICA,-27.278,27.996,1585
FAHR,N/A,HARRISMITH,HARRISMITH,SOUTH AFRICA,-28.235,29.106,1703
FAHS,HDS,HOEDSPRUIT AFS,HOEDSPRUIT,SOUTH AFRICA,-24.369,31.049,532
FAHV,N/A,GARIEP DAM,HENDRIK VERWOERDDAM,SOUTH AFRICA,-30.562,25.528,1273
FAJS,JNB,JOHANNESBURG INTERNATIONAL,JOHANNESBURG,SOUTH AFRICA,-26.139,28.246,1695
FAKD,N/A,KLERKSDORP,KLERKSDORP,SOUTH AFRICA,-26.871,26.718,1355
FAKG,N/A,KOMATI POWER STATION,KOMATI POWER STATION,SOUTH AFRICA,-26.093,29.455,1610
FAKL,N/A,KRIEL,KRIEL,SOUTH AFRICA,-26.252,29.194,1603
FAKM,KIM,KIMBERLEY,KIMBERLEY,SOUTH AFRICA,-28.803,24.765,1204
FAKP,N/A,KOMATIPOORT,KOMATIPOORT,SOUTH AFRICA,-25.441,31.93,153
FAKR,N/A,KRUGERSDORP,KRUGERSDORP,SOUTH AFRICA,-26.081,27.726,1677
FAKS,N/A,KROONSTAD,KROONSTAD,SOUTH AFRICA,-27.661,27.316,1433
FAKU,N/A,JOHAN PIENAAR,KURUMAN,SOUTH AFRICA,-27.457,23.411,1336
FAKZ,KLZ,KLEINSEE,KLEINSEE,SOUTH AFRICA,-29.688,17.094,79
FALA,HLA,LANSERIA,JOHANNESBURG,SOUTH AFRICA,-25.938,27.926,1377
FALB,N/A,LADYBRAND,LADYBRAND,SOUTH AFRICA,-29.181,27.453,1585
FALI,N/A,LICHTENBURG,LICHTENBURG,SOUTH AFRICA,-26.176,26.184,1486
FALT,LCD,LOUIS TRICHARDT AFB,LOUIS TRICHARDT,SOUTH AFRICA,-23.16,29.696,936
FALW,N/A,LANGEBAANWEG,LANGEBAANWEG,SOUTH AFRICA,-32.969,18.16,33
FALY,LAY,LADYSMITH,LADYSMITH,SOUTH AFRICA,-28.582,29.75,1082
FAMB,N/A,MIDDELBURG,MIDDELBURG,SOUTH AFRICA,-25.685,29.44,1490
FAMG,MGH,MARGATE,MARGATE,SOUTH AFRICA,-30.857,30.343,151
FAMI,N/A,MARBLE HALL,MARBLE HALL,SOUTH AFRICA,-24.989,29.283,909
FAMJ,N/A,MAJUBA POWER STATION,MAJUBA POWER STATION,SOUTH AFRICA,-27.079,29.778,1707
FAMK,MFK,MAFIKENG NORTH,MAFIKENG,SOUTH AFRICA,-25.753,25.612,1265
FAMM,MBO,MAFIKENG,MMABATHO,SOUTH AFRICA,-25.798,25.548,1275
FAMN,N/A,MALELANE,MALALANE,SOUTH AFRICA,-25.473,31.566,352
FAMS,MEZ,MESSINA,MESSINA,SOUTH AFRICA,-22.356,29.986,574
FAMU,N/A,MKUZI,MKUZE,SOUTH AFRICA,-27.626,32.044,122
FANC,NCS,NEWCASTLE,NEWCASTLE,SOUTH AFRICA,-27.771,29.977,1242
FANS,NLP,NELSPRUIT,NELSPRUIT,SOUTH AFRICA,-25.501,30.913,885
FANY,N/A,NYLSTROOM,NYLSTROOM,SOUTH AFRICA,-24.686,28.435,1189
FAOB,N/A,OVERBERG,OVERBERG,SOUTH AFRICA,-34.555,20.25,16
FAOH,DUH,OUDTSHOORN,OUDTSHOORN,SOUTH AFRICA,-33.607,22.189,325
FAPB,N/A,PIETERSBURG INTERNATIONAL,PIETERSBURG,SOUTH AFRICA,-23.845,29.459,1243
FAPE,PLZ,PORT ELIZABETH,PORT ELIZABETH,SOUTH AFRICA,-33.985,25.617,69
FAPG,N/A,PLETTENBERG BAY,PLETTENBERG BAY,SOUTH AFRICA,-34.09,23.328,142
FAPH,PHW,PHALABORWA,PHALABORWA,SOUTH AFRICA,-23.937,31.155,437
FAPI,PTG,PIETERSBURG MUNI,PIETERSBURG,SOUTH AFRICA,-23.926,29.484,1328
FAPJ,N/A,PORT ST JOHNS,PORT SAINT JOHNS,SOUTH AFRICA,-31.606,29.52,374
FAPM,PZB,PIETERMARITZBURG,PIETERMARITZBURG,SOUTH AFRICA,-29.649,30.399,739
FAPN,NTY,PILANESBERG,PILANESBERG,SOUTH AFRICA,-25.334,27.173,1040
FAPP,N/A,POTGIETERSRUS,POTGIETERSRUS,SOUTH AFRICA,-24.23,28.984,1067
FAPQ,N/A,POMFRET,POMFRET,SOUTH AFRICA,-25.847,23.538,1165
FAPS,N/A,POTCHEFSTROOM,POTCHEFSTROOM,SOUTH AFRICA,-26.671,27.082,1378
FAPY,N/A,PARYS,PARYS,SOUTH AFRICA,-26.889,27.503,1445
FAQT,UTW,QUEENSTOWN,QUEENSTOWN,SOUTH AFRICA,-31.92,26.882,1109
FARB,RCB,RICHARDS BAY,RICHARD'S BAY,SOUTH AFRICA,-28.741,32.092,34
FARG,N/A,RUSTENBURG,RUSTENBURG,SOUTH AFRICA,-25.644,27.271,1128
FARS,N/A,ROBERTSON,ROBERTSON,SOUTH AFRICA,-33.812,19.903,196
FASB,SBU,SPRINGBOK,SPRINGBOK,SOUTH AFRICA,-29.689,17.939,820
FASC,N/A,SECUNDA,SECUNDA,SOUTH AFRICA,-26.524,29.17,1601
FASD,N/A,SALDANHA VREDENBURG,SALDANHA,SOUTH AFRICA,-32.964,17.969,16
FASI,N/A,SPRINGS,SPRINGS,SOUTH AFRICA,-26.248,28.398,1628
FASK,N/A,SWARTKOP,SWARTKOP,SOUTH AFRICA,-25.809,28.164,1457
FASS,SIS,SISHEN,SISHEN,SOUTH AFRICA,-27.648,22.999,1173
FASU,N/A,SACE,SACE,SOUTH AFRICA,-25.961,29.209,1570
FASZ,SZK,SKUKUZA,SKUKUZA,SOUTH AFRICA,-24.961,31.589,311
FATF,N/A,TOMMYS FLD,TOMMY'S FIELD,SOUTH AFRICA,-28.26,22.993,1329
FATH,THY,P R MPHEPHU,THOHOYANDOU,SOUTH AFRICA,-23.079,30.383,616
FATN,TCU,THABA NCHU,THABA NCHU,BOPHUTHATSWANA,-29.319,26.823,1503
FATP,N/A,NEW TEMPE,BLOEMFONTEIN,SOUTH AFRICA,-29.033,26.157,1386
FATT,N/A,TUTUKA POWER STATION,TUTUKA,SOUTH AFRICA,-26.776,29.339,1620
FATZ,LTA,TZANEEN,TZANEEN,SOUTH AFRICA,-23.824,30.329,584
FAUL,ULD,PRINCE MANGOSUTHU BUTHELEZI,ULUNDI,SOUTH AFRICA,-28.321,31.416,525
FAUP,UTN,UPINGTON,UPINGTON,SOUTH AFRICA,-28.401,21.261,851
FAUT,UTT,UMTATA,UMTATA,SOUTH AFRICA,-31.548,28.674,732
FAVB,VRU,VRYBURG,VRYBURG,SOUTH AFRICA,-26.982,24.729,1195
FAVG,VIR,VIRGINIA,DURBAN,SOUTH AFRICA,-29.771,31.058,7
FAVP,N/A,VANDERBIJLPARK,VANDERBIJLPARK,SOUTH AFRICA,-26.692,27.778,1484
FAVR,N/A,VREDENDAL,VREDENDAL,SOUTH AFRICA,-31.641,18.545,101
FAVV,N/A,VEREENIGING,VEREENIGING,SOUTH AFRICA,-26.566,27.961,1478
FAVY,VYD,VRYHEID,VRYHEID,SOUTH AFRICA,-27.787,30.795,1159
FAWB,PRY,WONDERBOOM,PRETORIA,SOUTH AFRICA,-25.654,28.224,1249
FAWI,N/A,WITBANK,WITBANK,SOUTH AFRICA,-25.832,29.192,1548
FAWK,N/A,WATERKLOOF AFB,WATERKLOOF,SOUTH AFRICA,-25.83,28.222,1506
FAWM,WEL,WELKOM,WELKOM,SOUTH AFRICA,-27.998,26.669,1341
FAWS,N/A,WESSELSBRON,WESSELSBRUNN,SOUTH AFRICA,-27.847,26.35,1281
FAYP,N/A,YSTERPLAAT,YSTERPLAAT,SOUTH AFRICA,-33.9,18.498,16
FAZR,N/A,ZEERUST,ZEERUST,SOUTH AFRICA,-25.599,26.042,1298
FBFT,FRW,FRANCISTOWN,FRANCISTOWN,BOTSWANA,-21.159,27.474,1001
FBJW,JWA,JWANENG,JWANENG,BOTSWANA,-24.602,24.691,1189
FBKE,BBK,KASANE,KASANE,BOTSWANA,-17.833,25.162,1003
FBMN,MUB,MAUN,MAUN,BOTSWANA,-19.972,23.431,943
FBOR,ORP,ORAPA,ORAPA,BOTSWANA,-21.266,25.32,945
FBSK,GBE,SIR SERETSE KHAMA INTERNATIONAL,GABERONE,BOTSWANA,-24.555,25.918,1006
FBSP,PKW,SELEBI PHIKWE,SELEBI-PHIKWE,BOTSWANA,-22.058,27.829,892
FCBB,BZV,BRAZZAVILLE MAYA MAYA,BRAZZAVILLE,CONGO,-4.252,15.253,320
FCOI,ION,IMPFONDO,IMPFONDO,CONGO,1.589,18.047,335
FCOM,MKJ,MAKOUA,MAKOUA,CONGO,-0.021,15.575,393
FCOO,FTX,OWANDO,OWANDO,CONGO,-0.531,15.95,371
FCOU,OUE,OUESSO,OUESSO,CONGO,1.616,16.038,353
FCPA,KMK,MAKABANA,MAKABANA,CONGO,-3.483,12.617,151
FCPD,DIS,DOLISIE,LOUDIMA,CONGO,-4.208,12.661,329
FCPP,PNR,POINTE NOIRE,POINTE-NOIRE,CONGO,-4.813,11.886,17
FDMS,MTS,MATSAPHA,MANZINI,SWAZILAND,-26.529,31.308,633
FEFF,BGF,BANGUI M POKO,BANGUI,CENTRAL AFRICAN REP.,4.398,18.519,369
FEFG,BGU,BANGASSOU,BANGASSOU,CENTRAL AFRICAN REP.,4.784,22.781,520
FEFI,IRO,BIRAO,BIRAO,CENTRAL AFRICAN REP.,10.236,22.717,517
FEFM,BBY,BAMBARI,BAMBARI,CENTRAL AFRICAN REP.,5.847,20.649,473
FEFN,NDL,NDELE,N'DELE,CENTRAL AFRICAN REP.,8.427,20.635,498
FEFO,BOP,BOUAR,BOUAR,CENTRAL AFRICAN REP.,5.958,15.637,1025
FEFR,BIV,BRIA,BRIA,CENTRAL AFRICAN REP.,6.528,21.989,602
FEFT,BBT,BERBERATI,BERBERATI,CENTRAL AFRICAN REP.,4.221,15.786,588
FEFY,AIG,YALINGA,YALINGA,CENTRAL AFRICAN REP.,45.154,-89.111,464
FGBT,BSG,BATA,BATA,EQUATORIAL GUINEA,1.905,9.806,11
FGSL,SSG,MALABO,MALABO,EQUATORIAL GUINEA,3.755,8.709,24
FHAW,N/A,ASCENSION AUX AF,WIDE AWAKE,ACORES,-7.969,-14.394,84
FIMP,MRU,SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL,PLAISANCE,MAURITIUS,-20.43,57.683,57
FIMR,RRG,PLAINE CORAIL,RODRIGUEZ ISLAND,MAURITIUS,-19.758,63.362,29
FJDG,N/A,DIEGO GARCIA NSF,DIEGO GARCIA ISLAND,DIEGO GARCIA ISLAND,-7.313,72.411,3
FKKC,TKC,TIKO,TIKO,CAMEROON,4.089,9.36,47
FKKD,DLA,DOUALA,DOUALA,CAMEROON,4.006,9.719,11
FKKI,OUR,BATOURI,BATOURI,CAMEROON,4.473,14.364,656
FKKL,MVR,MAROUA SALAK,MAROUA,CAMEROON,10.451,14.257,424
FKKM,FOM,FOUMBAN NKOUNJA,FOUMBAN,CAMEROON,5.637,10.751,1208
FKKN,NGE,NGAOUNDERE,N'GAOUNDERE,CAMEROON,7.357,13.559,1115
FKKR,GOU,GAROUA,GAROUA,CAMEROON,9.336,13.37,243
FKKU,BFX,BAFOUSSAM,BAFOUSSAM,CAMEROON,5.537,10.354,1325
